original_index	participant	content	token	lemma	tagged_token	tagged_lemma	original_file	file
109	MOT	red eyes spots upward posture  	['red', 'eyes', 'spots', 'upward', 'posture']	['red', 'eye', 'spot', 'upward', 'posture']	[('red', 'JJ'), ('eyes', 'NNS'), ('spots', 'NNS'), ('upward', 'JJ'), ('posture', 'NN')]	[('red', 'JJ'), ('eye', 'NN'), ('spot', 'NN'), ('upward', 'JJ'), ('posture', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
107	CHI	well see as these eyes are blue but doesn't  	['well', 'see', 'as', 'these', 'eyes', 'are', 'blue', 'but', 'does', 'not']	['well', 'see', 'a', 'these', 'eye', 'be', 'blue', 'but', 'do', 'not']	[('well', 'RB'), ('see', 'VB'), ('as', 'IN'), ('these', 'DT'), ('eyes', 'NNS'), ('are', 'VBP'), ('blue', 'JJ'), ('but', 'CC'), ('does', 'VBZ'), ('not', 'RB')]	[('well', 'RB'), ('see', 'VB'), ('a', 'DT'), ('these', 'DT'), ('eye', 'NN'), ('be', 'VB'), ('blue', 'JJ'), ('but', 'CC'), ('do', 'VBP'), ('not', 'RB')]	Dyad1-time1-condTD.txt	time1-time1-condTD
111	MOT	red eyes upward posture but small big eyes  	['red', 'eyes', 'upward', 'posture', 'but', 'small', 'big', 'eyes']	['red', 'eye', 'upward', 'posture', 'but', 'small', 'big', 'eye']	[('red', 'JJ'), ('eyes', 'NNS'), ('upward', 'JJ'), ('posture', 'NN'), ('but', 'CC'), ('small', 'JJ'), ('big', 'JJ'), ('eyes', 'NNS')]	[('red', 'JJ'), ('eye', 'NN'), ('upward', 'JJ'), ('posture', 'NN'), ('but', 'CC'), ('small', 'JJ'), ('big', 'JJ'), ('eye', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
109	CHI	it  it  it looks like remember the first time we had bad aliens that looked like that  	['it', 'it', 'it', 'looks', 'like', 'remember', 'the', 'first', 'time', 'we', 'had', 'bad', 'aliens', 'that', 'looked', 'like', 'that']	['it', 'it', 'it', 'look', 'like', 'remember', 'the', 'first', 'time', 'we', 'have', 'bad', 'alien', 'that', 'look', 'like', 'that']	[('it', 'PRP'), ('it', 'PRP'), ('it', 'PRP'), ('looks', 'VBZ'), ('like', 'IN'), ('remember', 'VB'), ('the', 'DT'), ('first', 'JJ'), ('time', 'NN'), ('we', 'PRP'), ('had', 'VBD'), ('bad', 'JJ'), ('aliens', 'NNS'), ('that', 'IN'), ('looked', 'VBD'), ('like', 'IN'), ('that', 'DT')]	[('it', 'PRP'), ('it', 'PRP'), ('it', 'PRP'), ('look', 'VBZ'), ('like', 'IN'), ('remember', 'VB'), ('the', 'DT'), ('first', 'JJ'), ('time', 'NN'), ('we', 'PRP'), ('have', 'VBP'), ('bad', 'JJ'), ('alien', 'NN'), ('that', 'WDT'), ('look', 'VBP'), ('like', 'IN'), ('that', 'DT')]	Dyad1-time1-condTD.txt	time1-time1-condTD
113	MOT	red eyes it's got upward posture  	['red', 'eyes', 'it', 'is', 'got', 'upward', 'posture']	['red', 'eye', 'it', 'be', 'got', 'upward', 'posture']	[('red', 'JJ'), ('eyes', 'NNS'), ('it', 'PRP'), ('is', 'VBZ'), ('got', 'JJ'), ('upward', 'JJ'), ('posture', 'NN')]	[('red', 'JJ'), ('eye', 'NN'), ('it', 'PRP'), ('be', 'VB'), ('got', 'VBN'), ('upward', 'JJ'), ('posture', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
111	CHI	steal from it aw run away  	['steal', 'from', 'it', 'aw', 'run', 'away']	['steal', 'from', 'it', 'aw', 'run', 'away']	[('steal', 'NN'), ('from', 'IN'), ('it', 'PRP'), ('aw', 'VBZ'), ('run', 'VBN'), ('away', 'RB')]	[('steal', 'NN'), ('from', 'IN'), ('it', 'PRP'), ('aw', 'VBZ'), ('run', 'VBN'), ('away', 'RB')]	Dyad1-time1-condTD.txt	time1-time1-condTD
115	MOT	i'm not convinced  	['i', 'am', 'not', 'convinced']	['i', 'be', 'not', 'convinced']	[('i', 'NN'), ('am', 'VBP'), ('not', 'RB'), ('convinced', 'JJ')]	[('i', 'RB'), ('be', 'VB'), ('not', 'RB'), ('convinced', 'JJ')]	Dyad2-time1-condTD.txt	time1-time1-condTD
113	CHI	maybe blue was eyes and spots   okay you ready  	['maybe', 'blue', 'was', 'eyes', 'and', 'spots', 'okay', 'you', 'ready']	['maybe', 'blue', 'be', 'eye', 'and', 'spot', 'okay', 'you', 'ready']	[('maybe', 'RB'), ('blue', 'NN'), ('was', 'VBD'), ('eyes', 'NNS'), ('and', 'CC'), ('spots', 'NNS'), ('okay', 'VBP'), ('you', 'PRP'), ('ready', 'JJ')]	[('maybe', 'RB'), ('blue', 'JJ'), ('be', 'VB'), ('eye', 'NN'), ('and', 'CC'), ('spot', 'NN'), ('okay', 'NN'), ('you', 'PRP'), ('ready', 'VBP')]	Dyad1-time1-condTD.txt	time1-time1-condTD
117	MOT	go i'm curious  	['go', 'i', 'am', 'curious']	['go', 'i', 'be', 'curious']	[('go', 'VB'), ('i', 'JJ'), ('am', 'VBP'), ('curious', 'JJ')]	[('go', 'VB'), ('i', 'JJ'), ('be', 'VB'), ('curious', 'JJ')]	Dyad2-time1-condTD.txt	time1-time1-condTD
115	CHI	that one looks a   it comes a good alien  	['that', 'one', 'looks', 'a', 'it', 'comes', 'a', 'good', 'alien']	['that', 'one', 'look', 'a', 'it', 'come', 'a', 'good', 'alien']	[('that', 'DT'), ('one', 'CD'), ('looks', 'VBZ'), ('a', 'DT'), ('it', 'PRP'), ('comes', 'VBZ'), ('a', 'DT'), ('good', 'JJ'), ('alien', 'NN')]	[('that', 'DT'), ('one', 'CD'), ('look', 'NN'), ('a', 'DT'), ('it', 'PRP'), ('come', 'VB'), ('a', 'DT'), ('good', 'JJ'), ('alien', 'NN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
119	MOT	they're friendly eyes  	['they', 'are', 'friendly', 'eyes']	['they', 'be', 'friendly', 'eye']	[('they', 'PRP'), ('are', 'VBP'), ('friendly', 'JJ'), ('eyes', 'NNS')]	[('they', 'PRP'), ('be', 'VB'), ('friendly', 'JJ'), ('eye', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
117	CHI	 let's ask him for one  	['let', 'us', 'ask', 'him', 'for', 'one']	['let', 'u', 'ask', 'him', 'for', 'one']	[('let', 'VB'), ('us', 'PRP'), ('ask', 'VB'), ('him', 'PRP'), ('for', 'IN'), ('one', 'CD')]	[('let', 'VB'), ('u', 'JJ'), ('ask', 'VB'), ('him', 'PRP'), ('for', 'IN'), ('one', 'CD')]	Dyad1-time1-condTD.txt	time1-time1-condTD
121	MOT	so the only difference between the last two and the last one and this one is eyes  	['so', 'the', 'only', 'difference', 'between', 'the', 'last', 'two', 'and', 'the', 'last', 'one', 'and', 'this', 'one', 'is', 'eyes']	['so', 'the', 'only', 'difference', 'between', 'the', 'last', 'two', 'and', 'the', 'last', 'one', 'and', 'this', 'one', 'be', 'eye']	[('so', 'RB'), ('the', 'DT'), ('only', 'JJ'), ('difference', 'NN'), ('between', 'IN'), ('the', 'DT'), ('last', 'JJ'), ('two', 'CD'), ('and', 'CC'), ('the', 'DT'), ('last', 'JJ'), ('one', 'CD'), ('and', 'CC'), ('this', 'DT'), ('one', 'CD'), ('is', 'VBZ'), ('eyes', 'NNS')]	[('so', 'RB'), ('the', 'DT'), ('only', 'JJ'), ('difference', 'NN'), ('between', 'IN'), ('the', 'DT'), ('last', 'JJ'), ('two', 'CD'), ('and', 'CC'), ('the', 'DT'), ('last', 'JJ'), ('one', 'CD'), ('and', 'CC'), ('this', 'DT'), ('one', 'CD'), ('be', 'VB'), ('eye', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
119	CHI	yeah maybe okay ready   see this do we steal it  	['yeah', 'maybe', 'okay', 'ready', 'see', 'this', 'do', 'we', 'steal', 'it']	['yeah', 'maybe', 'okay', 'ready', 'see', 'this', 'do', 'we', 'steal', 'it']	[('yeah', 'NN'), ('maybe', 'RB'), ('okay', 'JJ'), ('ready', 'JJ'), ('see', 'VB'), ('this', 'DT'), ('do', 'VBP'), ('we', 'PRP'), ('steal', 'VB'), ('it', 'PRP')]	[('yeah', 'NN'), ('maybe', 'RB'), ('okay', 'JJ'), ('ready', 'JJ'), ('see', 'VB'), ('this', 'DT'), ('do', 'VBP'), ('we', 'PRP'), ('steal', 'VB'), ('it', 'PRP')]	Dyad1-time1-condTD.txt	time1-time1-condTD
123	MOT	the last one wasn't  	['the', 'last', 'one', 'was', 'not']	['the', 'last', 'one', 'be', 'not']	[('the', 'DT'), ('last', 'JJ'), ('one', 'NN'), ('was', 'VBD'), ('not', 'RB')]	[('the', 'DT'), ('last', 'JJ'), ('one', 'CD'), ('be', 'VB'), ('not', 'RB')]	Dyad2-time1-condTD.txt	time1-time1-condTD
121	CHI	no we ask it for gems    yes we finally figured out the pattern mommy  	['no', 'we', 'ask', 'it', 'for', 'gems', 'yes', 'we', 'finally', 'figured', 'out', 'the', 'pattern', 'mommy']	['no', 'we', 'ask', 'it', 'for', 'gem', 'yes', 'we', 'finally', 'figure', 'out', 'the', 'pattern', 'mommy']	[('no', 'DT'), ('we', 'PRP'), ('ask', 'VBP'), ('it', 'PRP'), ('for', 'IN'), ('gems', 'NNS'), ('yes', 'RB'), ('we', 'PRP'), ('finally', 'RB'), ('figured', 'VBD'), ('out', 'RP'), ('the', 'DT'), ('pattern', 'NN'), ('mommy', 'NN')]	[('no', 'DT'), ('we', 'PRP'), ('ask', 'VBP'), ('it', 'PRP'), ('for', 'IN'), ('gem', 'NN'), ('yes', 'NN'), ('we', 'PRP'), ('finally', 'RB'), ('figure', 'VBP'), ('out', 'RP'), ('the', 'DT'), ('pattern', 'NN'), ('mommy', 'NN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
125	MOT	this one you  you wave at   yep red eyes    i don't know about the red eyes but you either ask for it or you wave it's wave  	['this', 'one', 'you', 'you', 'wave', 'at', 'yep', 'red', 'eyes', 'i', 'do', 'not', 'know', 'about', 'the', 'red', 'eyes', 'but', 'you', 'either', 'ask', 'for', 'it', 'or', 'you', 'wave', 'it', 'is', 'wave']	['this', 'one', 'you', 'you', 'wave', 'at', 'yep', 'red', 'eye', 'i', 'do', 'not', 'know', 'about', 'the', 'red', 'eye', 'but', 'you', 'either', 'ask', 'for', 'it', 'or', 'you', 'wave', 'it', 'be', 'wave']	[('this', 'DT'), ('one', 'CD'), ('you', 'PRP'), ('you', 'PRP'), ('wave', 'VBP'), ('at', 'IN'), ('yep', 'NN'), ('red', 'JJ'), ('eyes', 'NNS'), ('i', 'RB'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('about', 'IN'), ('the', 'DT'), ('red', 'JJ'), ('eyes', 'NNS'), ('but', 'CC'), ('you', 'PRP'), ('either', 'VBP'), ('ask', 'VB'), ('for', 'IN'), ('it', 'PRP'), ('or', 'CC'), ('you', 'PRP'), ('wave', 'VBP'), ('it', 'PRP'), ('is', 'VBZ'), ('wave', 'JJ')]	[('this', 'DT'), ('one', 'CD'), ('you', 'PRP'), ('you', 'PRP'), ('wave', 'VBP'), ('at', 'IN'), ('yep', 'NN'), ('red', 'JJ'), ('eye', 'NN'), ('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('about', 'IN'), ('the', 'DT'), ('red', 'JJ'), ('eye', 'NN'), ('but', 'CC'), ('you', 'PRP'), ('either', 'VBP'), ('ask', 'VB'), ('for', 'IN'), ('it', 'PRP'), ('or', 'CC'), ('you', 'PRP'), ('wave', 'VBP'), ('it', 'PRP'), ('be', 'VB'), ('wave', 'VBN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
123	CHI	we did that finally   we have   okay you figured out half of it about  	['we', 'did', 'that', 'finally', 'we', 'have', 'okay', 'you', 'figured', 'out', 'half', 'of', 'it', 'about']	['we', 'do', 'that', 'finally', 'we', 'have', 'okay', 'you', 'figure', 'out', 'half', 'of', 'it', 'about']	[('we', 'PRP'), ('did', 'VBD'), ('that', 'IN'), ('finally', 'RB'), ('we', 'PRP'), ('have', 'VBP'), ('okay', 'VBN'), ('you', 'PRP'), ('figured', 'VBD'), ('out', 'RP'), ('half', 'NN'), ('of', 'IN'), ('it', 'PRP'), ('about', 'IN')]	[('we', 'PRP'), ('do', 'VBP'), ('that', 'DT'), ('finally', 'RB'), ('we', 'PRP'), ('have', 'VBP'), ('okay', 'VBN'), ('you', 'PRP'), ('figure', 'VBP'), ('out', 'RP'), ('half', 'NN'), ('of', 'IN'), ('it', 'PRP'), ('about', 'IN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
127	MOT	i'm thinking back to the other ones  	['i', 'am', 'thinking', 'back', 'to', 'the', 'other', 'ones']	['i', 'be', 'think', 'back', 'to', 'the', 'other', 'one']	[('i', 'NN'), ('am', 'VBP'), ('thinking', 'VBG'), ('back', 'RB'), ('to', 'TO'), ('the', 'DT'), ('other', 'JJ'), ('ones', 'NNS')]	[('i', 'RB'), ('be', 'VB'), ('think', 'VBP'), ('back', 'RB'), ('to', 'TO'), ('the', 'DT'), ('other', 'JJ'), ('one', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
125	CHI	yeah wave it's a good alien but we should wave at it   we did it so  	['yeah', 'wave', 'it', 'is', 'a', 'good', 'alien', 'but', 'we', 'should', 'wave', 'at', 'it', 'we', 'did', 'it', 'so']	['yeah', 'wave', 'it', 'be', 'a', 'good', 'alien', 'but', 'we', 'should', 'wave', 'at', 'it', 'we', 'do', 'it', 'so']	[('yeah', 'RB'), ('wave', 'VB'), ('it', 'PRP'), ('is', 'VBZ'), ('a', 'DT'), ('good', 'JJ'), ('alien', 'NN'), ('but', 'CC'), ('we', 'PRP'), ('should', 'MD'), ('wave', 'VB'), ('at', 'IN'), ('it', 'PRP'), ('we', 'PRP'), ('did', 'VBD'), ('it', 'PRP'), ('so', 'RB')]	[('yeah', 'RB'), ('wave', 'VB'), ('it', 'PRP'), ('be', 'VB'), ('a', 'DT'), ('good', 'JJ'), ('alien', 'NN'), ('but', 'CC'), ('we', 'PRP'), ('should', 'MD'), ('wave', 'VB'), ('at', 'IN'), ('it', 'PRP'), ('we', 'PRP'), ('do', 'VBP'), ('it', 'PRP'), ('so', 'RB')]	Dyad1-time1-condTD.txt	time1-time1-condTD
129	MOT	i don't think we run  	['i', 'do', 'not', 'think', 'we', 'run']	['i', 'do', 'not', 'think', 'we', 'run']	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('think', 'VB'), ('we', 'PRP'), ('run', 'VBP')]	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('think', 'VB'), ('we', 'PRP'), ('run', 'VBP')]	Dyad2-time1-condTD.txt	time1-time1-condTD
127	CHI	then we should steal from it  	['then', 'we', 'should', 'steal', 'from', 'it']	['then', 'we', 'should', 'steal', 'from', 'it']	[('then', 'RB'), ('we', 'PRP'), ('should', 'MD'), ('steal', 'VB'), ('from', 'IN'), ('it', 'PRP')]	[('then', 'RB'), ('we', 'PRP'), ('should', 'MD'), ('steal', 'VB'), ('from', 'IN'), ('it', 'PRP')]	Dyad1-time1-condTD.txt	time1-time1-condTD
131	MOT	see wave  	['see', 'wave']	['see', 'wave']	[('see', 'NNS'), ('wave', 'VBP')]	[('see', 'NNS'), ('wave', 'VBP')]	Dyad2-time1-condTD.txt	time1-time1-condTD
129	CHI	well i guess we figured out the ones with the friendly aliens sortof okay  okay  	['well', 'i', 'guess', 'we', 'figured', 'out', 'the', 'ones', 'with', 'the', 'friendly', 'aliens', 'sortof', 'okay', 'okay']	['well', 'i', 'guess', 'we', 'figure', 'out', 'the', 'one', 'with', 'the', 'friendly', 'alien', 'sortof', 'okay', 'okay']	[('well', 'RB'), ('i', 'JJ'), ('guess', 'NN'), ('we', 'PRP'), ('figured', 'VBD'), ('out', 'RP'), ('the', 'DT'), ('ones', 'NNS'), ('with', 'IN'), ('the', 'DT'), ('friendly', 'JJ'), ('aliens', 'NNS'), ('sortof', 'VBP'), ('okay', 'JJ'), ('okay', 'NN')]	[('well', 'RB'), ('i', 'JJ'), ('guess', 'NN'), ('we', 'PRP'), ('figure', 'VBP'), ('out', 'RP'), ('the', 'DT'), ('one', 'NN'), ('with', 'IN'), ('the', 'DT'), ('friendly', 'JJ'), ('alien', 'JJ'), ('sortof', 'NN'), ('okay', 'NN'), ('okay', 'NN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
133	MOT	big eyes  	['big', 'eyes']	['big', 'eye']	[('big', 'JJ'), ('eyes', 'NNS')]	[('big', 'JJ'), ('eye', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
131	CHI	no that's not true okay ready  	['no', 'that', 'is', 'not', 'true', 'okay', 'ready']	['no', 'that', 'be', 'not', 'true', 'okay', 'ready']	[('no', 'DT'), ('that', 'WDT'), ('is', 'VBZ'), ('not', 'RB'), ('true', 'JJ'), ('okay', 'NNS'), ('ready', 'JJ')]	[('no', 'DT'), ('that', 'WDT'), ('be', 'VB'), ('not', 'RB'), ('true', 'JJ'), ('okay', 'NNS'), ('ready', 'JJ')]	Dyad1-time1-condTD.txt	time1-time1-condTD
135	MOT	so you think spots is angry  	['so', 'you', 'think', 'spots', 'is', 'angry']	['so', 'you', 'think', 'spot', 'be', 'angry']	[('so', 'RB'), ('you', 'PRP'), ('think', 'VBP'), ('spots', 'NNS'), ('is', 'VBZ'), ('angry', 'JJ')]	[('so', 'RB'), ('you', 'PRP'), ('think', 'VBP'), ('spot', 'RB'), ('be', 'VB'), ('angry', 'JJ')]	Dyad2-time1-condTD.txt	time1-time1-condTD
133	CHI	then we should ask it  	['then', 'we', 'should', 'ask', 'it']	['then', 'we', 'should', 'ask', 'it']	[('then', 'RB'), ('we', 'PRP'), ('should', 'MD'), ('ask', 'VB'), ('it', 'PRP')]	[('then', 'RB'), ('we', 'PRP'), ('should', 'MD'), ('ask', 'VB'), ('it', 'PRP')]	Dyad1-time1-condTD.txt	time1-time1-condTD
137	MOT	whatabout big eyes  	['whatabout', 'big', 'eyes']	['whatabout', 'big', 'eye']	[('whatabout', 'RB'), ('big', 'JJ'), ('eyes', 'NNS')]	[('whatabout', 'RB'), ('big', 'JJ'), ('eye', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
135	CHI	okay we have almost one hundred   okay ready  	['okay', 'we', 'have', 'almost', 'one', 'hundred', 'okay', 'ready']	['okay', 'we', 'have', 'almost', 'one', 'hundred', 'okay', 'ready']	[('okay', 'IN'), ('we', 'PRP'), ('have', 'VBP'), ('almost', 'RB'), ('one', 'CD'), ('hundred', 'VBD'), ('okay', 'PRP'), ('ready', 'JJ')]	[('okay', 'IN'), ('we', 'PRP'), ('have', 'VBP'), ('almost', 'RB'), ('one', 'CD'), ('hundred', 'VBD'), ('okay', 'PRP'), ('ready', 'JJ')]	Dyad1-time1-condTD.txt	time1-time1-condTD
139	MOT	 i don't think that's the  	['i', 'do', 'not', 'think', 'that', 'is', 'the']	['i', 'do', 'not', 'think', 'that', 'be', 'the']	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('think', 'VB'), ('that', 'DT'), ('is', 'VBZ'), ('the', 'DT')]	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('think', 'VB'), ('that', 'IN'), ('be', 'VB'), ('the', 'DT')]	Dyad2-time1-condTD.txt	time1-time1-condTD
137	CHI	aw i don't know it was a bad alien  	['aw', 'i', 'do', 'not', 'know', 'it', 'was', 'a', 'bad', 'alien']	['aw', 'i', 'do', 'not', 'know', 'it', 'be', 'a', 'bad', 'alien']	[('aw', 'NN'), ('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('it', 'PRP'), ('was', 'VBD'), ('a', 'DT'), ('bad', 'JJ'), ('alien', 'NN')]	[('aw', 'NN'), ('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('it', 'PRP'), ('be', 'VB'), ('a', 'DT'), ('bad', 'JJ'), ('alien', 'NN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
141	MOT	i'd wave or  or we either wave or ask those are my two  	['i', 'would', 'wave', 'or', 'or', 'we', 'either', 'wave', 'or', 'ask', 'those', 'are', 'my', 'two']	['i', 'would', 'wave', 'or', 'or', 'we', 'either', 'wave', 'or', 'ask', 'those', 'be', 'my', 'two']	[('i', 'NN'), ('would', 'MD'), ('wave', 'VB'), ('or', 'CC'), ('or', 'CC'), ('we', 'PRP'), ('either', 'CC'), ('wave', 'VB'), ('or', 'CC'), ('ask', 'VB'), ('those', 'DT'), ('are', 'VBP'), ('my', 'PRP$'), ('two', 'CD')]	[('i', 'NN'), ('would', 'MD'), ('wave', 'VB'), ('or', 'CC'), ('or', 'CC'), ('we', 'PRP'), ('either', 'CC'), ('wave', 'VB'), ('or', 'CC'), ('ask', 'VB'), ('those', 'DT'), ('be', 'VB'), ('my', 'PRP$'), ('two', 'CD')]	Dyad2-time1-condTD.txt	time1-time1-condTD
139	CHI	it has red eyes so   	['it', 'has', 'red', 'eyes', 'so']	['it', 'have', 'red', 'eye', 'so']	[('it', 'PRP'), ('has', 'VBZ'), ('red', 'VBN'), ('eyes', 'NNS'), ('so', 'RB')]	[('it', 'PRP'), ('have', 'VBP'), ('red', 'VBN'), ('eye', 'NN'), ('so', 'RB')]	Dyad1-time1-condTD.txt	time1-time1-condTD
143	MOT	the only thing it's got different are the eyes that's the one maybe you ask for it  	['the', 'only', 'thing', 'it', 'is', 'got', 'different', 'are', 'the', 'eyes', 'that', 'is', 'the', 'one', 'maybe', 'you', 'ask', 'for', 'it']	['the', 'only', 'thing', 'it', 'be', 'got', 'different', 'be', 'the', 'eye', 'that', 'be', 'the', 'one', 'maybe', 'you', 'ask', 'for', 'it']	[('the', 'DT'), ('only', 'JJ'), ('thing', 'NN'), ('it', 'PRP'), ('is', 'VBZ'), ('got', 'JJ'), ('different', 'JJ'), ('are', 'VBP'), ('the', 'DT'), ('eyes', 'NNS'), ('that', 'WDT'), ('is', 'VBZ'), ('the', 'DT'), ('one', 'CD'), ('maybe', 'NN'), ('you', 'PRP'), ('ask', 'VBP'), ('for', 'IN'), ('it', 'PRP')]	[('the', 'DT'), ('only', 'JJ'), ('thing', 'NN'), ('it', 'PRP'), ('be', 'VB'), ('got', 'VBN'), ('different', 'JJ'), ('be', 'VB'), ('the', 'DT'), ('eye', 'NN'), ('that', 'WDT'), ('be', 'VB'), ('the', 'DT'), ('one', 'CD'), ('maybe', 'NN'), ('you', 'PRP'), ('ask', 'VBP'), ('for', 'IN'), ('it', 'PRP')]	Dyad2-time1-condTD.txt	time1-time1-condTD
141	CHI	yeah if  if it's green and has red eyes then run away from okay here ready let's try it okay so wanna wave it  	['yeah', 'if', 'if', 'it', 'is', 'green', 'and', 'has', 'red', 'eyes', 'then', 'run', 'away', 'from', 'okay', 'here', 'ready', 'let', 'us', 'try', 'it', 'okay', 'so', 'wan', 'na', 'wave', 'it']	['yeah', 'if', 'if', 'it', 'be', 'green', 'and', 'have', 'red', 'eye', 'then', 'run', 'away', 'from', 'okay', 'here', 'ready', 'let', 'u', 'try', 'it', 'okay', 'so', 'wan', 'na', 'wave', 'it']	[('yeah', 'RB'), ('if', 'IN'), ('if', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('green', 'JJ'), ('and', 'CC'), ('has', 'VBZ'), ('red', 'VBN'), ('eyes', 'NNS'), ('then', 'RB'), ('run', 'VB'), ('away', 'RB'), ('from', 'IN'), ('okay', 'NN'), ('here', 'RB'), ('ready', 'JJ'), ('let', 'VB'), ('us', 'PRP'), ('try', 'VB'), ('it', 'PRP'), ('okay', 'PRP'), ('so', 'RB'), ('wan', 'JJ'), ('na', 'NNS'), ('wave', 'VBP'), ('it', 'PRP')]	[('yeah', 'RB'), ('if', 'IN'), ('if', 'IN'), ('it', 'PRP'), ('be', 'VB'), ('green', 'JJ'), ('and', 'CC'), ('have', 'VBP'), ('red', 'VBN'), ('eye', 'NN'), ('then', 'RB'), ('run', 'VB'), ('away', 'RB'), ('from', 'IN'), ('okay', 'NN'), ('here', 'RB'), ('ready', 'JJ'), ('let', 'NN'), ('u', 'JJ'), ('try', 'VB'), ('it', 'PRP'), ('okay', 'PRP'), ('so', 'RB'), ('wan', 'JJ'), ('na', 'NNS'), ('wave', 'VBP'), ('it', 'PRP')]	Dyad1-time1-condTD.txt	time1-time1-condTD
145	MOT	if that's what actually the driver  	['if', 'that', 'is', 'what', 'actually', 'the', 'driver']	['if', 'that', 'be', 'what', 'actually', 'the', 'driver']	[('if', 'IN'), ('that', 'DT'), ('is', 'VBZ'), ('what', 'WDT'), ('actually', 'RB'), ('the', 'DT'), ('driver', 'NN')]	[('if', 'IN'), ('that', 'DT'), ('be', 'VB'), ('what', 'WP'), ('actually', 'RB'), ('the', 'DT'), ('driver', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
143	CHI	wave that's a good alien   okay okay it's the so we figured out the green ones right so arms up or arms down is run away or arms up okay okay ready  	['wave', 'that', 'is', 'a', 'good', 'alien', 'okay', 'okay', 'it', 'is', 'the', 'so', 'we', 'figured', 'out', 'the', 'green', 'ones', 'right', 'so', 'arms', 'up', 'or', 'arms', 'down', 'is', 'run', 'away', 'or', 'arms', 'up', 'okay', 'okay', 'ready']	['wave', 'that', 'be', 'a', 'good', 'alien', 'okay', 'okay', 'it', 'be', 'the', 'so', 'we', 'figure', 'out', 'the', 'green', 'one', 'right', 'so', 'arm', 'up', 'or', 'arm', 'down', 'be', 'run', 'away', 'or', 'arm', 'up', 'okay', 'okay', 'ready']	[('wave', 'NN'), ('that', 'WDT'), ('is', 'VBZ'), ('a', 'DT'), ('good', 'JJ'), ('alien', 'NN'), ('okay', 'IN'), ('okay', 'NN'), ('it', 'PRP'), ('is', 'VBZ'), ('the', 'DT'), ('so', 'RB'), ('we', 'PRP'), ('figured', 'VBD'), ('out', 'RP'), ('the', 'DT'), ('green', 'JJ'), ('ones', 'NNS'), ('right', 'RB'), ('so', 'RB'), ('arms', 'VBZ'), ('up', 'RP'), ('or', 'CC'), ('arms', 'NNS'), ('down', 'RP'), ('is', 'VBZ'), ('run', 'VBN'), ('away', 'RB'), ('or', 'CC'), ('arms', 'VBZ'), ('up', 'RP'), ('okay', 'JJ'), ('okay', 'NNS'), ('ready', 'JJ')]	[('wave', 'NN'), ('that', 'WDT'), ('be', 'VB'), ('a', 'DT'), ('good', 'JJ'), ('alien', 'NN'), ('okay', 'IN'), ('okay', 'NN'), ('it', 'PRP'), ('be', 'VB'), ('the', 'DT'), ('so', 'RB'), ('we', 'PRP'), ('figure', 'VBP'), ('out', 'RP'), ('the', 'DT'), ('green', 'JJ'), ('one', 'CD'), ('right', 'NN'), ('so', 'RB'), ('arm', 'JJ'), ('up', 'RP'), ('or', 'CC'), ('arm', 'VB'), ('down', 'RP'), ('be', 'VB'), ('run', 'VBN'), ('away', 'RB'), ('or', 'CC'), ('arm', 'VB'), ('up', 'RP'), ('okay', 'JJ'), ('okay', 'NNS'), ('ready', 'JJ')]	Dyad1-time1-condTD.txt	time1-time1-condTD
